Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
CHIPOTLE MEXICAN GRILL #1225,10400 OLD GEORGETOWN RD,,BETHESDA,20817,01/28/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.0263,-77.1276,"(39.0263, -77.1276)"
CHIPOTLE MEXICAN GRILL #1147,865-B ROCKVILLE PIKE,,ROCKVILLE,20851,05/20/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0752,-77.1378,"(39.0752, -77.1378)"
CHIPOTLE MEXICAN GRILL #1449,3333 OLNEY SANDY SPRING RD #101,,OLNEY,20832,03/03/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1533,-77.0661,"(39.1533, -77.0661)"
CHIPOTLE MEXICAN GRILL #0103,564 N. FREDERICK AVE.,,GAITHERSBURG,20877,11/23/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1484,-77.2101,"(39.1484, -77.2101)"
CHIPOTLE MEXICAN GRILL #0461,96 MAIN ST.,,GAITHERSBURG,20878,07/20/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1246,-77.237,"(39.1246, -77.237)"
CHIPOTLE MEXICAN GRILL #1147,865-B ROCKVILLE PIKE,,ROCKVILLE,20851,03/30/2023,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0752,-77.1378,"(39.0752, -77.1378)"
CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,STE B,POTOMAC,20854,05/05/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0164,-77.209,"(39.0164, -77.209)"
CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,STE B,POTOMAC,20854,01/04/2023,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0164,-77.209,"(39.0164, -77.209)"
CHIPOTLE MEXICAN GRILL #1439,10526 CONNECTICUT AVE.,,KENSINGTON,20895,02/22/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.0279,-77.0768,"(39.0279, -77.0768)"
CHIPOTLE MEXICAN GRILL #0447,12060 CHERRY HILL RD.,,SILVER SPRING,20904,12/22/2021,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0555,-76.9549,"(39.0555, -76.9549)"
