2505,Hy-Vee Wine and Spirits / Boone,A,"1111 8th St
Boone, IA 500360000
(42.063838574000044, -93.87592031799994)",
2506,Hy-vee #1044 / Burlington,A,"3140 Agency
Burlington, IA 526010000
(40.81466829500005, -91.13590017199994)",
2507,Hy-vee Food Store #1 / Burlington,A,"939 Angular
Burlington, IA 526010000
(40.80183302800003, -91.11096594599996)",
2508,Hy-vee Food Store #1 / Cedar Rapids,A,"1843 Johnson Avenue, N.w.
Cedar Rapids, IA 524050000
(41.97446298800003, -91.69838077799994)",
2509,Hy-Vee / Drugtown #1 / Cedar Rapids,A,"1520 6th St Sw
Cedar Rapids, IA 524040000
(41.96232254700004, -91.67711772199999)",
2510,Hy-Vee Drugstore #3 / Cedar Rapids,A,"2405 Mt Vernon Rd Se
Cedar Rapids, IA 524030000
(41.97694269800007, -91.63266038499995)",
2511,Hy-Vee / Drugtown #2 / Cedar Rapids,I,"1440 32nd Street, N.e.
Cedar Rapids, IA 524020000
(42.01039804800007, -91.65764992099997)",
2512,Hy-vee Wine and Spirits / Iowa City,A,"1720 Waterfront Dr
Iowa City, IA 522400000
(41.64292615900007, -91.53064887599999)",
2513,Hy-vee Food Store #2 / Iowa City,A,"812 S 1st Ave
Iowa City, IA 522400000
(41.65129200400003, -91.50196230699999)",
2514,Hy-vee Drugstore / Marion,A,"2790 7th Avenue
Marion, IA 501290000
(42.03329769000004, -91.58262485999995)",
2515,Hy-Vee Food Store #1 / Mason City,A,"2400 4th St Sw
Mason City, IA 504010000
(43.14846309700005, -93.23627296199999)",
2516,Hy-Vee Wine and Spirits / Newton,I,"1718 First Avenue East
Newton, IA 502080000
(41.699197842000046, -93.03139108199997)",
2517,Hy-vee Food Store #1 / Newton,A,"1501 First Avenue East
Newton, IA 502080000
(41.69915290300003, -93.03364148899999)",
2518,Hy-Vee Wine and Spirits / Red Oak,A,"1607 North Broadway
Red Oak, IA 515660000
(41.01860751100003, -95.23281408799994)",
2519,Hy-Vee Wine and Spirits / Waverly,I,"Willowlawn Mall, 121 20th St N
Waverly, IA 506770000
(42.725734147000026, -92.47626867299994)",
