904803,MISC. AMERICAN CORDIALS & LIQUEURS,Veev Acai,489,Veev Spirits Llc,750,6,1,,60,2010-07-14 00:00:00,904803,904803,$14.00,21.00,84.00
904804,TEQUILA,Milagro Tequila Silver,240,William Grant And Sons Inc.,375,12,1,,80,2009-06-12 00:00:00,,,$7.97,11.96,95.60
904805,STRAIGHT BOURBON WHISKIES,Heaven Hill Old Style Green 6yr,259,Heaven Hill Distilleries Inc.,750,12,1,,90,2010-07-15 00:00:00,,10096700000000,$5.45,8.18,65.35
904806,PUERTO RICO & VIRGIN ISLANDS RUM,Zaya Rum,255,Wilson Daniels Ltd.,750,6,1,,80,2010-07-12 00:00:00,720816000000,20720800000000,$16.66,24.99,99.94
904807,STRAIGHT BOURBON WHISKIES,Heaven Hill Old Style Green 90,259,Heaven Hill Distilleries Inc.,750,12,1,,90,2010-07-15 00:00:00,,10096700000000,$4.61,6.92,55.35
904808,TEQUILA,Cazadores Reposado,35,Bacardi U.s.a. Inc.,1750,6,1,,80,2010-07-08 00:00:00,,,$29.37,44.06,176.21
904809,STRAIGHT BOURBON WHISKIES,Phillips Union Whiskey,380,Phillips Beverage Company,750,6,1,,80,2010-07-19 00:00:00,87116080003,10087100000000,$14.30,21.45,85.80
904810,SINGLE MALT SCOTCH,Laphroaig 21yr,65,Jim Beam Brands,750,6,1,,106,2010-07-12 00:00:00,,,$104.98,157.47,629.88
904811,STRAIGHT BOURBON WHISKIES,Heaven Hill Old Style(green Label),259,Heaven Hill Distilleries Inc.,750,12,1,,80,2010-07-15 00:00:00,,904811,$6.37,9.56,76.40
904812,IMPORTED VODKA,Pinnacle Butterscotch(dno),298,White Rock Distilleries Inc.,750,12,1,,70,2010-07-12 00:00:00,,,$7.38,11.07,88.55
904813,TEQUILA,Don Julio Blanco,260,Diageo Americas,375,12,1,,80,2009-08-11 00:00:00,,10674500000000,$12.97,19.46,155.68
904814,TEQUILA,Espolon Reposado,460,Shaw Ross International Importers Ll,375,12,1,,80,2009-07-10 00:00:00,,,$10.99,16.49,131.87
904815,MISC. IMPORTED CORDIALS & LIQUEURS,Caravella Orangecello,55,Sazerac North America,750,6,1,,56,2010-07-20 00:00:00,80660776163,10080700000000,$10.54,15.81,63.25
904816,SCOTCH WHISKIES,Black Grouse,389,Remy Cointreau Usa         .,750,12,1,,80,2010-07-20 00:00:00,,10087200000000,$14.99,22.49,179.88
904817,TEQUILA,Manik Reposado,286,Jalixco Trading Co. Llc,750,6,1,,80,2010-07-26 00:00:00,,,$21.50,32.25,129.00
904818,IRISH WHISKIES,Paddy's Irish Whiskey,370,Pernod Ricard Usa/austin Nichols,1000,12,1,,80,2010-07-28 00:00:00,,10080400000000,$17.05,25.58,204.56
904819,SINGLE MALT SCOTCH,Port Ellen 27yr Scotch,127,Classic Wine Imports,750,6,1,,86,2010-07-22 00:00:00,,,$189.28,283.92,1135.70
904820,FLAVORED VODKA,Smirnoff Twist Of Watermelon,260,Diageo Americas,375,12,1,,70,2010-04-19 00:00:00,82000001263,82000767985,$4.50,6.75,53.95
904821,FLAVORED VODKA,Smirnoff Twist Of Cranberry,260,Diageo Americas,375,12,1,,70,2010-04-19 00:00:00,82000001249,82000748793,$4.50,6.75,53.95
904822,IMPORTED VODKA,Belvedere Pink Grapefruit,420,Moet Hennessy Usa Inc.,750,6,1,,80,2010-07-22 00:00:00,,,$17.15,25.73,102.90
904823,TEQUILA,Manik Anejo,286,Jalixco Trading Co. Llc,750,6,1,,80,2010-07-26 00:00:00,,,$23.00,34.50,138.00
904824,SINGLE MALT SCOTCH,Port Ellen 1982 25yr Scotch,127,Classic Wine Imports,750,6,1,,80,2010-07-22 00:00:00,,,$172.62,258.93,1035.70
904825,SINGLE MALT SCOTCH,The Dalmore 12 Yr Single Malt Scotch,503,Whyte And Machay(americas) Limitedl,750,6,1,,80,2009-03-12 00:00:00,87647111672,904825,$30.94,46.41,185.61
904826,MISC. IMPORTED CORDIALS & LIQUEURS,Ty Ku Premium Liqueur,469,Ty Ku Llc,750,6,1,,40,2009-06-09 00:00:00,,,$17.00,25.50,102.00
904827,AMERICAN ALCOHOL,Everclear Alcohol 190 Proof,434,Luxco-st Louis,1750,6,1,,190,2009-09-01 00:00:00,88352100012,10088400000000,$23.34,35.01,140.00
904828,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Mentholmint Pet,421,Sazerac Co. Inc.,750,12,1,,48,2010-07-29 00:00:00,,10088000000000,$7.80,11.70,93.60
904829,TEQUILA,Totem Blanco,286,Jalixco Trading Co. Llc,750,12,1,,80,2010-07-26 00:00:00,,,$15.33,23.00,184.00
904830,MISC. IMPORTED CORDIALS & LIQUEURS,Pallini Lemoncello,91,Castle Brands,750,12,1,,52,2010-07-30 00:00:00,,10736000000000,$11.00,16.50,131.94
904831,,Dr.mcgillicuddy's Vanilla Minis,421,Sazerac Co. Inc.,502,120,1,,48,2009-08-06 00:00:00,,,$0.81,1.22,97.00
